date,ticker,sentiment_score
2022-12-18,BHARTIARTL.NS,0.0
2022-12-25,BHARTIARTL.NS,-1.0
2023-01-01,BHARTIARTL.NS,0.0
2023-01-08,BHARTIARTL.NS,0.999
2023-01-15,BHARTIARTL.NS,-1.0
2023-01-22,BHARTIARTL.NS,0.0
2023-01-29,BHARTIARTL.NS,0.0
2023-02-05,BHARTIARTL.NS,1.0
2023-02-12,BHARTIARTL.NS,-1.0
2023-02-19,BHARTIARTL.NS,1.0
2023-02-26,BHARTIARTL.NS,-1.0
2023-03-05,BHARTIARTL.NS,1.0
2023-03-12,BHARTIARTL.NS,0.0
2023-03-19,BHARTIARTL.NS,-1.0
2023-03-26,BHARTIARTL.NS,0.0
2023-04-02,BHARTIARTL.NS,-1.0
2023-04-09,BHARTIARTL.NS,1.0
2023-04-16,BHARTIARTL.NS,1.0
2023-04-23,BHARTIARTL.NS,0.0
2023-04-30,BHARTIARTL.NS,1.0
2023-05-07,BHARTIARTL.NS,-1.0
2023-05-14,BHARTIARTL.NS,0.999
2023-05-21,BHARTIARTL.NS,1.0
2023-05-28,BHARTIARTL.NS,1.0
2023-06-04,BHARTIARTL.NS,1.0
2023-06-11,BHARTIARTL.NS,1.0
2023-06-18,BHARTIARTL.NS,0.999
2023-06-25,BHARTIARTL.NS,1.0
2023-07-02,BHARTIARTL.NS,1.0
2023-07-09,BHARTIARTL.NS,1.0
2023-07-16,BHARTIARTL.NS,1.0
2023-07-23,BHARTIARTL.NS,1.0
2023-07-30,BHARTIARTL.NS,1.0
2023-08-06,BHARTIARTL.NS,0.0
2023-08-13,BHARTIARTL.NS,-1.0
2023-08-20,BHARTIARTL.NS,-1.0
2023-08-27,BHARTIARTL.NS,1.0
2023-09-03,BHARTIARTL.NS,0.0
2023-09-10,BHARTIARTL.NS,1.0
2023-09-17,BHARTIARTL.NS,1.0
2023-09-24,BHARTIARTL.NS,-1.0
2023-10-01,BHARTIARTL.NS,1.0
2023-10-08,BHARTIARTL.NS,0.0
2023-10-15,BHARTIARTL.NS,1.0
2023-10-22,BHARTIARTL.NS,0.0
2023-10-29,BHARTIARTL.NS,-1.0
2023-11-05,BHARTIARTL.NS,0.0
2023-11-12,BHARTIARTL.NS,0.999
2023-11-19,BHARTIARTL.NS,1.0
2023-11-26,BHARTIARTL.NS,1.0
2023-12-03,BHARTIARTL.NS,1.0
2023-12-10,BHARTIARTL.NS,0.0
2023-12-17,BHARTIARTL.NS,0.999
2023-12-24,BHARTIARTL.NS,0.0
2023-12-31,BHARTIARTL.NS,1.0
2024-01-07,BHARTIARTL.NS,0.999
2024-01-14,BHARTIARTL.NS,1.0
2024-01-21,BHARTIARTL.NS,1.0
2024-01-28,BHARTIARTL.NS,1.0
2024-02-04,BHARTIARTL.NS,0.0
2024-02-11,BHARTIARTL.NS,-1.0
2024-02-18,BHARTIARTL.NS,1.0
2024-02-25,BHARTIARTL.NS,0.0
